product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
182,Курортная,9675,447,Напитки,Помогает поддерживать нормальный уровень холестерина в крови.,1998-01-21,2009-02-16,0.02,Pending
183,Нектарин,8401,790,Фрукты,"Обладает приятными органолептическими свойствами, привлекающими внимание покупателей.",2006-06-12,2026-01-04,0.62,Backorder
184,Одинцовская,7198,587,Напитки,Помогает поддерживать нормальный уровень холестерина в крови.,2014-01-14,2018-01-03,2.13,New
185,Капуста белокочанная,7349,89,Овощи,Помогает поддерживать нормальную функцию щитовидной железы благодаря содержанию йода.,1992-03-14,2029-06-07,3.94,Awaiting Review
186,Севастопольская,6845,593,Напитки,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",2015-08-13,2021-04-27,2.63,On Backorder
187,Голландский сыр,954,193,Молочные продукты,"Помогает поддерживать нормальный уровень лептина, гормона насыщения.",2017-10-05,2025-02-15,0.8,Sold
188,Пакеты для пляжа,6152,369,Товары для дома,Отличается высокой питательностью и способен быстро утолить голод.,2004-04-01,2020-05-06,4.81,Available for Pickup
189,Каша из дробленной овсянки,2943,619,Бакалея,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,1994-01-16,2008-07-02,0.78,Returned
190,Папайя,3062,761,Фрукты,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2013-04-12,2030-04-02,0.72,Returned
191,Моющее средство для посуды,1767,669,Товары для дома,Отличается высокой степенью адаптации к индивидуальным потребностям организма.,2019-02-02,2027-05-16,4.58,Available for Pickup
192,Ложки столовые,7471,37,Товары для дома,"Помогает поддерживать нормальный уровень ацетилхолина, нейромедиатора, ответственного за память и обучение.",1994-11-07,1998-02-02,0.12,New
193,Горчица зерновая,6303,278,Бакалея,"Помогает поддерживать нормальный уровень индолов, веществ, способных защищать от рака.",2016-11-21,2024-01-17,1.0,Temporarily Unavailable
194,Пакеты для семинара,4171,188,Товары для дома,Помогает улучшить когнитивные функции и память.,2005-02-03,2019-01-10,3.0,Cancelled
